selection_id,door,fine_group_id,fine_group_name,major_category
major_001,农学,NF35,动物健康类,动物医学类
major_002,农学,NF01,农业生产类,动物生产类
major_003,农学,NF02,生态林草类,林学类
major_004,农学,NF01,农业生产类,植物生产类
major_005,农学,NF01,农业生产类,水产类
major_006,农学,NF02,生态林草类,自然保护与环境生态类
major_007,农学,NF02,生态林草类,草学类
major_008,医学,NF04,中医融合类,中医学类
major_009,医学,NF04,中医融合类,中西医结合类
major_010,医学,NF03,临床医学类,临床医学类
major_011,医学,NF05,医学支撑类,公共卫生与预防医学类
major_012,医学,NF03,临床医学类,医学试验班类
major_013,医学,NF03,临床医学类,口腔医学类
major_014,医学,NF05,医学支撑类,基础医学类
major_015,医学,NF05,医学支撑类,法医学类
major_016,历史学,NF06,历史人文类,历史学类
major_017,哲学,NF07,哲学思想类,哲学类
major_018,工学,NF16,交叉试验类,交叉工程类
major_019,工学,NF10,基础设施类,交通运输类
major_020,工学,NF33,工业电仪类,仪器类
major_021,工学,NF12,公共安全类,公安技术类
major_022,工学,NF09,先进制造类,兵器类
major_023,工学,NF15,农林工程类,农业工程类
major_024,工学,NF09,先进制造类,力学类
major_025,工学,NF13,生物化工类,化工与制药类
major_026,工学,NF10,基础设施类,土木类
major_027,工学,NF11,资源环境类,地质类
major_028,工学,NF12,公共安全类,安全科学与工程类
major_029,工学,NF16,交叉试验类,工科试验班类
major_030,工学,NF10,基础设施类,建筑类
major_031,工学,NF09,先进制造类,机械类
major_032,工学,NF09,先进制造类,材料类
major_033,工学,NF15,农林工程类,林业工程类
major_034,工学,NF34,能源工程类,核工程类
major_035,工学,NF10,基础设施类,水利类
major_036,工学,NF10,基础设施类,测绘类
major_037,工学,NF10,基础设施类,海洋工程类
major_038,工学,NF11,资源环境类,环境科学与工程类
major_039,工学,NF13,生物化工类,生物医学工程类
major_040,工学,NF13,生物化工类,生物工程类
major_041,工学,NF08,信息智能类,电子信息类
major_042,工学,NF33,工业电仪类,电气类
major_043,工学,NF11,资源环境类,矿业类
major_044,工学,NF14,轻工食品类,纺织类
major_045,工学,NF34,能源工程类,能源动力类
major_046,工学,NF08,信息智能类,自动化类
major_047,工学,NF09,先进制造类,航空航天类
major_048,工学,NF08,信息智能类,计算机类
major_049,工学,NF14,轻工食品类,轻工类
major_050,工学,NF14,轻工食品类,食品科学与工程类
major_051,教育学,NF17,教育体育类,体育学类
major_052,教育学,NF17,教育体育类,教育学类
major_053,"教育学,理学",NF18,心理行为类,心理学类
major_054,文学,NF19,语言传播类,中国语言文学类
major_055,文学,NF19,语言传播类,外国语言文学类
major_056,文学,NF19,语言传播类,新闻传播学类
major_057,法学,NF21,法律治理类,公安学类
major_058,法学,NF21,法律治理类,政治学类
major_059,法学,NF22,民族社会类,民族学类
major_060,法学,NF21,法律治理类,法学类
major_061,法学,NF22,民族社会类,社会学类
major_062,法学,NF36,思想理论类,马克思主义理论类
major_063,理学,NF26,医药护理类,中药学类
major_064,理学,NF23,基础理学类,化学类
major_065,理学,NF26,医药护理类,医学技术类
major_066,理学,NF24,地球海洋类,地球物理学类
major_067,理学,NF24,地球海洋类,地理科学类
major_068,理学,NF24,地球海洋类,地质学类
major_069,理学,NF24,地球海洋类,大气科学类
major_070,理学,NF23,基础理学类,天文学类
major_071,理学,NF26,医药护理类,护理学类
major_072,理学,NF23,基础理学类,数学类
major_073,理学,NF24,地球海洋类,海洋科学类
major_074,理学,NF23,基础理学类,物理学类
major_075,理学,NF23,基础理学类,理科试验班类
major_076,理学,NF25,生命科学类,生物科学类
major_077,理学,NF23,基础理学类,统计学类
major_078,理学,NF26,医药护理类,药学类
major_079,管理学,NF27,公共信息类,公共管理类
major_080,管理学,NF29,商业服务类,农业经济管理类
major_081,管理学,NF27,公共信息类,图书情报与档案管理类
major_082,管理学,NF28,工程管理类,工业工程类
major_083,管理学,NF29,商业服务类,工商管理类
major_084,管理学,NF29,商业服务类,旅游管理类
major_085,管理学,NF38,数字流通类,物流管理与工程类
major_086,管理学,NF38,数字流通类,电子商务类
major_087,管理学,NF28,工程管理类,管理科学与工程类
major_088,经济学,NF30,经贸财政类,经济与贸易类
major_089,经济学,NF30,经贸财政类,经济学类
major_090,经济学,NF30,经贸财政类,财政学类
major_091,经济学,NF37,金融投资类,金融学类
major_092,综合,NF31,社科经管类,人文社科试验班类
major_093,综合,NF31,社科经管类,经济管理试验班类
major_094,综合,NF39,综合交叉类,综合试验班类
major_095,艺术学,NF32,艺术综合类,戏剧与影视学类
major_096,艺术学,NF32,艺术综合类,美术学类
major_097,艺术学,NF32,艺术综合类,艺术学理论类
major_098,艺术学,NF32,艺术综合类,设计学类
major_099,艺术学,NF32,艺术综合类,音乐与舞蹈学类
